time,x,y,z,vx,vy,vz
0.800000,23.118281,27.490089,0.000000,27.865380,29.040268,0.000000
0.810000,23.396684,27.779188,0.000000,27.840283,28.909865,0.000000
0.820000,23.674837,28.066984,0.000000,27.815224,28.779616,0.000000
0.830000,23.952739,28.353479,0.000000,27.790201,28.649522,0.000000
0.840000,24.230391,28.638675,0.000000,27.765214,28.519582,0.000000
0.850000,24.507793,28.922573,0.000000,27.740265,28.389796,0.000000
0.860000,24.784947,29.205175,0.000000,27.715352,28.260164,0.000000
0.870000,25.061852,29.486482,0.000000,27.690476,28.130684,0.000000
0.880000,25.338508,29.766495,0.000000,27.665636,28.001359,0.000000
0.890000,25.614916,30.045217,0.000000,27.640833,27.872185,0.000000
0.900000,25.891077,30.322649,0.000000,27.616065,27.743165,0.000000
0.910000,26.166990,30.598792,0.000000,27.591334,27.614297,0.000000
0.920000,26.442657,30.873648,0.000000,27.566640,27.485580,0.000000
0.930000,26.718076,31.147218,0.000000,27.541981,27.357016,0.000000
0.940000,26.993250,31.419504,0.000000,27.517358,27.228603,0.000000
0.950000,27.268178,31.690507,0.000000,27.492771,27.100341,0.000000
0.960000,27.542860,31.960229,0.000000,27.468220,26.972230,0.000000
0.970000,27.817297,32.228672,0.000000,27.443705,26.844270,0.000000
0.980000,28.091489,32.495837,0.000000,27.419225,26.716460,0.000000
0.990000,28.365437,32.761725,0.000000,27.394781,26.588800,0.000000
1.000000,28.639141,33.026338,0.000000,27.370373,26.461290,0.000000
1.010000,28.912601,33.289677,0.000000,27.346000,26.333930,0.000000
1.020000,29.185817,33.551744,0.000000,27.321662,26.206719,0.000000
1.030000,29.458791,33.812541,0.000000,27.297360,26.079657,0.000000
1.040000,29.731522,34.072068,0.000000,27.273093,25.952744,0.000000
1.050000,30.004011,34.330328,0.000000,27.248861,25.825979,0.000000
1.060000,30.276257,34.587322,0.000000,27.224664,25.699363,0.000000
1.070000,30.548262,34.843050,0.000000,27.200502,25.572895,0.000000
1.080000,30.820026,35.097516,0.000000,27.176375,25.446574,0.000000
1.090000,31.091549,35.350720,0.000000,27.152283,25.320401,0.000000
1.100000,31.362831,35.602664,0.000000,27.128225,25.194375,0.000000
1.110000,31.633873,35.853349,0.000000,27.104203,25.068497,0.000000
1.120000,31.904675,36.102777,0.000000,27.080215,24.942765,0.000000
1.130000,32.175238,36.350948,0.000000,27.056261,24.817179,0.000000
1.140000,32.445561,36.597866,0.000000,27.032342,24.691739,0.000000
1.150000,32.715646,36.843530,0.000000,27.008458,24.566446,0.000000
1.160000,32.985492,37.087943,0.000000,26.984607,24.441298,0.000000
1.170000,33.255100,37.331106,0.000000,26.960791,24.316296,0.000000
1.180000,33.524470,37.573021,0.000000,26.937010,24.191439,0.000000
1.190000,33.793603,37.813688,0.000000,26.913262,24.066727,0.000000
1.200000,34.062498,38.053109,0.000000,26.889548,23.942159,0.000000
1.210000,34.331157,38.291287,0.000000,26.865868,23.817736,0.000000
1.220000,34.599579,38.528221,0.000000,26.842222,23.693457,0.000000
1.230000,34.867765,38.763915,0.000000,26.818610,23.569322,0.000000
1.240000,35.135715,38.998368,0.000000,26.795032,23.445331,0.000000
1.250000,35.403430,39.231583,0.000000,26.771487,23.321483,0.000000
1.260000,35.670910,39.463560,0.000000,26.747976,23.197778,0.000000
1.270000,35.938155,39.694303,0.000000,26.724499,23.074217,0.000000
1.280000,36.205166,39.923811,0.000000,26.701055,22.950797,0.000000
1.290000,36.471942,40.152086,0.000000,26.677644,22.827521,0.000000
1.300000,36.738485,40.379130,0.000000,26.654267,22.704386,0.000000
1.310000,37.004794,40.604944,0.000000,26.630922,22.581394,0.000000
1.320000,37.270870,40.829529,0.000000,26.607611,22.458543,0.000000
1.330000,37.536713,41.052887,0.000000,26.584333,22.335834,0.000000
1.340000,37.802324,41.275020,0.000000,26.561088,22.213266,0.000000
1.350000,38.067703,41.495928,0.000000,26.537876,22.090839,0.000000
1.360000,38.332850,41.715614,0.000000,26.514697,21.968552,0.000000
1.370000,38.597765,41.934078,0.000000,26.491551,21.846406,0.000000
1.380000,38.862450,42.151322,0.000000,26.468437,21.724401,0.000000
1.390000,39.126903,42.367347,0.000000,26.445356,21.602535,0.000000
1.400000,39.391126,42.582155,0.000000,26.422308,21.480809,0.000000
1.410000,39.655119,42.795748,0.000000,26.399292,21.359223,0.000000
1.420000,39.918882,43.008125,0.000000,26.376309,21.237776,0.000000
1.430000,40.182416,43.219290,0.000000,26.353358,21.116468,0.000000
1.440000,40.445720,43.429243,0.000000,26.330439,20.995299,0.000000
1.450000,40.708796,43.637986,0.000000,26.307553,20.874268,0.000000
1.460000,40.971643,43.845520,0.000000,26.284698,20.753376,0.000000
1.470000,41.234262,44.051846,0.000000,26.261876,20.632622,0.000000
1.480000,41.496653,44.256966,0.000000,26.239086,20.512006,0.000000
1.490000,41.758816,44.460881,0.000000,26.216327,20.391527,0.000000
1.500000,42.020752,44.663593,0.000000,26.193601,20.271186,0.000000
1.510000,42.282461,44.865103,0.000000,26.170906,20.150982,0.000000
1.520000,42.543943,45.065412,0.000000,26.148243,20.030915,0.000000
1.530000,42.805199,45.264522,0.000000,26.125612,19.910985,0.000000
1.540000,43.066230,45.462434,0.000000,26.103013,19.791191,0.000000
1.550000,43.327034,45.659149,0.000000,26.080445,19.671533,0.000000
1.560000,43.587613,45.854669,0.000000,26.057908,19.552012,0.000000
1.570000,43.847967,46.048995,0.000000,26.035403,19.432626,0.000000
1.580000,44.108096,46.242129,0.000000,26.012929,19.313376,0.000000
1.590000,44.368001,46.434072,0.000000,25.990486,19.194261,0.000000
1.600000,44.627682,46.624825,0.000000,25.968075,19.075281,0.000000
1.610000,44.887139,46.814389,0.000000,25.945694,18.956437,0.000000
1.620000,45.146372,47.002766,0.000000,25.923345,18.837726,0.000000
1.630000,45.405383,47.189958,0.000000,25.901026,18.719151,0.000000
1.640000,45.664170,47.375965,0.000000,25.878739,18.600709,0.000000
1.650000,45.922735,47.560789,0.000000,25.856482,18.482402,0.000000
1.660000,46.181077,47.744431,0.000000,25.834257,18.364228,0.000000
1.670000,46.439198,47.926893,0.000000,25.812061,18.246188,0.000000
1.680000,46.697097,48.108176,0.000000,25.789897,18.128281,0.000000
1.690000,46.954775,48.288281,0.000000,25.767763,18.010508,0.000000
1.700000,47.212231,48.467210,0.000000,25.745659,17.892867,0.000000
1.710000,47.469467,48.644963,0.000000,25.723586,17.775359,0.000000
1.720000,47.726483,48.821543,0.000000,25.701544,17.657983,0.000000
1.730000,47.983278,48.996950,0.000000,25.679531,17.540740,0.000000
1.740000,48.239853,49.171187,0.000000,25.657549,17.423628,0.000000
1.750000,48.496209,49.344253,0.000000,25.635597,17.306649,0.000000
1.760000,48.752346,49.516151,0.000000,25.613675,17.189801,0.000000
1.770000,49.008264,49.686882,0.000000,25.591783,17.073084,0.000000
1.780000,49.263963,49.856447,0.000000,25.569921,16.956499,0.000000
1.790000,49.519444,50.024847,0.000000,25.548089,16.840044,0.000000
1.800000,49.774707,50.192085,0.000000,25.526287,16.723720,0.000000
1.810000,50.029752,50.358160,0.000000,25.504514,16.607527,0.000000
1.820000,50.284580,50.523075,0.000000,25.482771,16.491464,0.000000
1.830000,50.539190,50.686830,0.000000,25.461058,16.375531,0.000000
1.840000,50.793584,50.849427,0.000000,25.439374,16.259728,0.000000
1.850000,51.047761,51.010868,0.000000,25.417720,16.144054,0.000000
1.860000,51.301722,51.171153,0.000000,25.396095,16.028510,0.000000
1.870000,51.555467,51.330284,0.000000,25.374500,15.913096,0.000000
1.880000,51.808997,51.488262,0.000000,25.352934,15.797810,0.000000
1.890000,52.062311,51.645088,0.000000,25.331397,15.682653,0.000000
1.900000,52.315409,51.800765,0.000000,25.309889,15.567625,0.000000
1.910000,52.568294,51.955292,0.000000,25.288410,15.452725,0.000000
1.920000,52.820963,52.108671,0.000000,25.266961,15.337953,0.000000
1.930000,53.073419,52.260904,0.000000,25.245540,15.223310,0.000000
1.940000,53.325660,52.411992,0.000000,25.224148,15.108794,0.000000
1.950000,53.577688,52.561936,0.000000,25.202785,14.994406,0.000000
1.960000,53.829502,52.710738,0.000000,25.181451,14.880145,0.000000
1.970000,54.081104,52.858398,0.000000,25.160145,14.766011,0.000000
1.980000,54.332493,53.004918,0.000000,25.138868,14.652004,0.000000
1.990000,54.583669,53.150299,0.000000,25.117619,14.538124,0.000000
2.000000,54.834633,53.294543,0.000000,25.096399,14.424371,0.000000
2.010000,55.085385,53.437650,0.000000,25.075208,14.310744,0.000000
2.020000,55.335925,53.579623,0.000000,25.054045,14.197243,0.000000
2.030000,55.586254,53.720462,0.000000,25.032910,14.083868,0.000000
2.040000,55.836372,53.860168,0.000000,25.011803,13.970619,0.000000
2.050000,56.086280,53.998743,0.000000,24.990724,13.857495,0.000000
2.060000,56.335976,54.136188,0.000000,24.969674,13.744497,0.000000
2.070000,56.585463,54.272504,0.000000,24.948651,13.631624,0.000000
2.080000,56.834739,54.407693,0.000000,24.927657,13.518876,0.000000
2.090000,57.083806,54.541755,0.000000,24.906690,13.406253,0.000000
2.100000,57.332664,54.674693,0.000000,24.885752,13.293754,0.000000
2.110000,57.581312,54.806507,0.000000,24.864841,13.181380,0.000000
2.120000,57.829752,54.937198,0.000000,24.843957,13.069130,0.000000
2.130000,58.077983,55.066768,0.000000,24.823102,12.957003,0.000000
2.140000,58.326006,55.195218,0.000000,24.802274,12.845001,0.000000
2.150000,58.573820,55.322549,0.000000,24.781473,12.733122,0.000000
2.160000,58.821427,55.448763,0.000000,24.760700,12.621367,0.000000
2.170000,59.068827,55.573860,0.000000,24.739954,12.509735,0.000000
2.180000,59.316019,55.697842,0.000000,24.719236,12.398226,0.000000
2.190000,59.563005,55.820711,0.000000,24.698545,12.286840,0.000000
2.200000,59.809783,55.942467,0.000000,24.677881,12.175576,0.000000
2.210000,60.056356,56.063111,0.000000,24.657244,12.064435,0.000000
2.220000,60.302722,56.182645,0.000000,24.636634,11.953417,0.000000
2.230000,60.548883,56.301070,0.000000,24.616051,11.842520,0.000000
2.240000,60.794838,56.418388,0.000000,24.595496,11.731745,0.000000
2.250000,61.040587,56.534599,0.000000,24.574967,11.621092,0.000000
2.260000,61.286132,56.649704,0.000000,24.554464,11.510561,0.000000
2.270000,61.531472,56.763706,0.000000,24.533989,11.400151,0.000000
2.280000,61.776607,56.876604,0.000000,24.513540,11.289862,0.000000
2.290000,62.021539,56.988401,0.000000,24.493118,11.179694,0.000000
2.300000,62.266266,57.099098,0.000000,24.472722,11.069646,0.000000
2.310000,62.510789,57.208695,0.000000,24.452353,10.959720,0.000000
2.320000,62.755109,57.317194,0.000000,24.432011,10.849913,0.000000
2.330000,62.999226,57.424596,0.000000,24.411694,10.740228,0.000000
2.340000,63.243140,57.530903,0.000000,24.391404,10.630662,0.000000
2.350000,63.486852,57.636115,0.000000,24.371140,10.521216,0.000000
2.360000,63.730361,57.740234,0.000000,24.350903,10.411889,0.000000
2.370000,63.973668,57.843261,0.000000,24.330691,10.302683,0.000000
2.380000,64.216773,57.945197,0.000000,24.310506,10.193595,0.000000
2.390000,64.459676,58.046043,0.000000,24.290346,10.084627,0.000000
2.400000,64.702378,58.145801,0.000000,24.270213,9.975778,0.000000
2.410000,64.944879,58.244471,0.000000,24.250105,9.867047,0.000000
2.420000,65.187180,58.342056,0.000000,24.230023,9.758435,0.000000
2.430000,65.429279,58.438555,0.000000,24.209967,9.649942,0.000000
2.440000,65.671179,58.533971,0.000000,24.189936,9.541567,0.000000
2.450000,65.912878,58.628304,0.000000,24.169931,9.433310,0.000000
2.460000,66.154377,58.721556,0.000000,24.149952,9.325171,0.000000
2.470000,66.395677,58.813727,0.000000,24.129998,9.217149,0.000000
2.480000,66.636778,58.904820,0.000000,24.110069,9.109245,0.000000
2.490000,66.877680,58.994834,0.000000,24.090166,9.001459,0.000000
2.500000,67.118383,59.083772,0.000000,24.070288,8.893790,0.000000
2.510000,67.358887,59.171634,0.000000,24.050436,8.786238,0.000000
2.520000,67.599193,59.258422,0.000000,24.030608,8.678803,0.000000
2.530000,67.839301,59.344137,0.000000,24.010806,8.571484,0.000000
2.540000,68.079211,59.428780,0.000000,23.991029,8.464283,0.000000
2.550000,68.318924,59.512352,0.000000,23.971276,8.357197,0.000000
2.560000,68.558440,59.594854,0.000000,23.951549,8.250228,0.000000
2.570000,68.797758,59.676288,0.000000,23.931847,8.143375,0.000000
2.580000,69.036880,59.756654,0.000000,23.912169,8.036637,0.000000
2.590000,69.275805,59.835955,0.000000,23.892516,7.930016,0.000000
2.600000,69.514534,59.914190,0.000000,23.872888,7.823510,0.000000
2.610000,69.753067,59.991361,0.000000,23.853284,7.717119,0.000000
2.620000,69.991404,60.067469,0.000000,23.833705,7.610844,0.000000
2.630000,70.229545,60.142516,0.000000,23.814150,7.504683,0.000000
2.640000,70.467492,60.216503,0.000000,23.794620,7.398638,0.000000
2.650000,70.705243,60.289430,0.000000,23.775114,7.292707,0.000000
2.660000,70.942799,60.361299,0.000000,23.755633,7.186891,0.000000
2.670000,71.180161,60.432110,0.000000,23.736176,7.081189,0.000000
2.680000,71.417328,60.501866,0.000000,23.716743,6.975602,0.000000
2.690000,71.654302,60.570568,0.000000,23.697334,6.870128,0.000000
2.700000,71.891081,60.638215,0.000000,23.677949,6.764769,0.000000
2.710000,72.127667,60.704811,0.000000,23.658588,6.659523,0.000000
2.720000,72.364059,60.770355,0.000000,23.639251,6.554391,0.000000
2.730000,72.600259,60.834848,0.000000,23.619938,6.449372,0.000000
2.740000,72.836265,60.898293,0.000000,23.600649,6.344467,0.000000
2.750000,73.072079,60.960690,0.000000,23.581384,6.239675,0.000000
2.760000,73.307701,61.022040,0.000000,23.562142,6.134995,0.000000
2.770000,73.543130,61.082344,0.000000,23.542924,6.030429,0.000000
2.780000,73.778367,61.141604,0.000000,23.523730,5.925975,0.000000
2.790000,74.013413,61.199820,0.000000,23.504559,5.821634,0.000000
2.800000,74.248267,61.256994,0.000000,23.485412,5.717405,0.000000
2.810000,74.482930,61.313127,0.000000,23.466288,5.613288,0.000000
2.820000,74.717402,61.368220,0.000000,23.447187,5.509283,0.000000
2.830000,74.951683,61.422274,0.000000,23.428110,5.405390,0.000000
2.840000,75.185773,61.475290,0.000000,23.409056,5.301609,0.000000
2.850000,75.419673,61.527269,0.000000,23.390025,5.197940,0.000000
2.860000,75.653384,61.578213,0.000000,23.371017,5.094382,0.000000
2.870000,75.886904,61.628122,0.000000,23.352032,4.990935,0.000000
2.880000,76.120235,61.676998,0.000000,23.333070,4.887600,0.000000
2.890000,76.353376,61.724842,0.000000,23.314132,4.784375,0.000000
2.900000,76.586328,61.771655,0.000000,23.295216,4.681261,0.000000
2.910000,76.819091,61.817437,0.000000,23.276323,4.578258,0.000000
2.920000,77.051666,61.862191,0.000000,23.257452,4.475366,0.000000
2.930000,77.284052,61.905917,0.000000,23.238605,4.372584,0.000000
2.940000,77.516250,61.948616,0.000000,23.219780,4.269912,0.000000
2.950000,77.748259,61.990289,0.000000,23.200978,4.167350,0.000000
2.960000,77.980081,62.030938,0.000000,23.182198,4.064898,0.000000
2.970000,78.211716,62.070564,0.000000,23.163441,3.962556,0.000000
2.980000,78.443163,62.109167,0.000000,23.144706,3.860324,0.000000
2.990000,78.674423,62.146749,0.000000,23.125993,3.758201,0.000000
3.000000,78.905496,62.183311,0.000000,23.107303,3.656188,0.000000
3.010000,79.136382,62.218854,0.000000,23.088635,3.554284,0.000000
3.020000,79.367082,62.253379,0.000000,23.069989,3.452489,0.000000
3.030000,79.597596,62.286887,0.000000,23.051365,3.350803,0.000000
3.040000,79.827923,62.319379,0.000000,23.032764,3.249226,0.000000
3.050000,80.058065,62.350857,0.000000,23.014184,3.147757,0.000000
3.060000,80.288022,62.381321,0.000000,22.995627,3.046397,0.000000
3.070000,80.517792,62.410772,0.000000,22.977091,2.945146,0.000000
3.080000,80.747378,62.439212,0.000000,22.958577,2.844003,0.000000
3.090000,80.976779,62.466642,0.000000,22.940085,2.742968,0.000000
3.100000,81.205995,62.493062,0.000000,22.921615,2.642040,0.000000
3.110000,81.435027,62.518474,0.000000,22.903166,2.541221,0.000000
3.120000,81.663874,62.542880,0.000000,22.884739,2.440510,0.000000
3.130000,81.892538,62.566279,0.000000,22.866334,2.339906,0.000000
3.140000,82.121017,62.588673,0.000000,22.847950,2.239409,0.000000
3.150000,82.349313,62.610063,0.000000,22.829588,2.139020,0.000000
3.160000,82.577425,62.630450,0.000000,22.811247,2.038738,0.000000
3.170000,82.805355,62.649836,0.000000,22.792927,1.938563,0.000000
3.180000,83.033101,62.668221,0.000000,22.774629,1.838495,0.000000
3.190000,83.260665,62.685606,0.000000,22.756351,1.738534,0.000000
3.200000,83.488045,62.701993,0.000000,22.738095,1.638679,0.000000
3.210000,83.715244,62.717382,0.000000,22.719861,1.538931,0.000000
3.220000,83.942261,62.731775,0.000000,22.701647,1.439290,0.000000
3.230000,84.169095,62.745173,0.000000,22.683454,1.339754,0.000000
3.240000,84.395748,62.757576,0.000000,22.665282,1.240325,0.000000
3.250000,84.622219,62.768986,0.000000,22.647131,1.141002,0.000000
3.260000,84.848509,62.779404,0.000000,22.629001,1.041785,0.000000
3.270000,85.074618,62.788831,0.000000,22.610892,0.942673,0.000000
3.280000,85.300546,62.797267,0.000000,22.592804,0.843667,0.000000
3.290000,85.526294,62.804715,0.000000,22.574736,0.744767,0.000000
3.300000,85.751860,62.811175,0.000000,22.556689,0.645972,0.000000
3.310000,85.977247,62.816648,0.000000,22.538662,0.547282,0.000000
3.320000,86.202454,62.821134,0.000000,22.520656,0.448697,0.000000
3.330000,86.427480,62.824637,0.000000,22.502671,0.350218,0.000000
3.340000,86.652327,62.827155,0.000000,22.484706,0.251843,0.000000
3.350000,86.876995,62.828691,0.000000,22.466761,0.153573,0.000000
3.360000,87.101483,62.829245,0.000000,22.448837,0.055408,0.000000
3.370000,87.325793,62.828818,0.000000,22.430932,-0.042653,0.000000
3.380000,87.549923,62.827412,0.000000,22.413049,-0.140610,0.000000
3.390000,87.773875,62.825028,0.000000,22.395185,-0.238462,0.000000
3.400000,87.997648,62.821666,0.000000,22.377341,-0.336210,0.000000
3.410000,88.221244,62.817327,0.000000,22.359518,-0.433854,0.000000
3.420000,88.444661,62.812013,0.000000,22.341714,-0.531394,0.000000
3.430000,88.667900,62.805725,0.000000,22.323930,-0.628831,0.000000
3.440000,88.890962,62.798463,0.000000,22.306167,-0.726163,0.000000
3.450000,89.113846,62.790229,0.000000,22.288423,-0.823393,0.000000
3.460000,89.336553,62.781024,0.000000,22.270699,-0.920518,0.000000
3.470000,89.559083,62.770849,0.000000,22.252994,-1.017541,0.000000
3.480000,89.781436,62.759704,0.000000,22.235310,-1.114460,0.000000
3.490000,90.003612,62.747591,0.000000,22.217645,-1.211276,0.000000
3.500000,90.225612,62.734511,0.000000,22.200000,-1.307989,0.000000
3.510000,90.447436,62.720465,0.000000,22.182374,-1.404599,0.000000
3.520000,90.669084,62.705454,0.000000,22.164767,-1.501107,0.000000
3.530000,90.890556,62.689479,0.000000,22.147181,-1.597512,0.000000
3.540000,91.111852,62.672541,0.000000,22.129613,-1.693814,0.000000
